Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,1272031.0,1270592.0,1259509.0,1197946.0,1117566.0,1060141.0,1039171.0,1010789.0,1018627.0,1015964.0,1025936.0
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,67720.0,63858.0,64077.0,65306.0,63307.0,62534.0,65560.0,63740.0,61464.0,60087.0,61605.0
1735401,Nukus shahri,Город Нукус,Nukus city,10976.0,11098.0,11017.0,10596.0,10190.0,10452.0,10934.0,9988.0,9259.0,9273.0,9775.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,6921.0,6644.0,6722.0,6920.0,6530.0,6377.0,6726.0,7181.0,7226.0,6891.0,6920.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,7296.0,7084.0,6950.0,6500.0,1563.0,6230.0,6606.0,6214.0,6085.0,5726.0,5598.0
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,717.0,683.0,667.0
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,2056.0,1646.0,1825.0,1684.0,3134.0,1619.0,1699.0,1722.0,1649.0,1658.0,1758.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,3458.0,3114.0,3295.0,3475.0,4710.0,2862.0,2893.0,2307.0,1992.0,1930.0,2569.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,4070.0,4052.0,4416.0,4850.0,1788.0,4649.0,4613.0,4440.0,4541.0,4619.0,4587.0
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,1835.0,1870.0,1793.0,1814.0,1167.0,1901.0,2003.0,1769.0,1714.0,1751.0,1834.0
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,1157.0,996.0,952.0,1113.0,6156.0,1055.0,832.0,888.0,1061.0,1073.0,1245.0
1735225,Nukus tumani,Нукусский район,Nukus district,1601.0,1514.0,1657.0,1781.0,1746.0,1517.0,1430.0,1556.0,1400.0,1393.0,1550.0
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,0.0,2352.0,2461.0,2598.0,2390.0,2192.0,2306.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,1564.0,1305.0,1248.0,1323.0,1247.0,1271.0,1405.0,1404.0,1447.0,1358.0,1305.0
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,8001.0,7238.0,7047.0,8102.0,8111.0,7416.0,7771.0,7560.0,7199.0,6472.0,6350.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,5406.0,6067.0,6308.0,6073.0,6167.0,4166.0,4451.0,3708.0,3405.0,3885.0,4158.0
1735240,Chimboy tumani,Чимбайский район,Chimboy district,4146.0,3814.0,3932.0,3901.0,3523.0,3488.0,4166.0,3894.0,3496.0,3668.0,3620.0
1735243,Shumanay tumani,Шуманайский район,Shumanay district,2214.0,2218.0,2187.0,2212.0,2265.0,1954.0,1943.0,2171.0,2197.0,2131.0,2099.0
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,5655.0,5198.0,4728.0,4962.0,5010.0,5225.0,5627.0,5628.0,5686.0,5384.0,5264.0
1703,Andijon viloyati,Андижанская область,Andijan region,117920.0,118795.0,117271.0,107357.0,102002.0,97450.0,90616.0,87049.0,89087.0,88141.0,88635.0
1703401,Andijon shahar,Город Андижан,Andijon city,18046.0,17881.0,17640.0,16547.0,15644.0,14685.0,13422.0,12560.0,12140.0,11983.0,12241.0
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,1610.0,1675.0,1701.0,1784.0,1673.0,1293.0,1184.0,1149.0,1163.0,1228.0,1147.0
