Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,1191082.0,1212828.0,1246148.0,1310351.0,1372395.0,1449404.0,1524493.0,1613779.0,1698530.0,1805118.0,1927090.0
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,57916.0,59184.0,60700.0,63996.0,66974.0,70352.0,73726.0,77821.0,81286.0,86579.0,91931.0
1735401,Nukus shahri,Город Нукус,Nukus city,10570.0,11154.0,11699.0,12478.0,13179.0,13872.0,14506.0,15135.0,15910.0,17048.0,17695.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,5892.0,5886.0,6043.0,6579.0,7050.0,7426.0,7878.0,8296.0,8473.0,9233.0,9965.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,5256.0,5182.0,5192.0,5336.0,1732.0,5663.0,5905.0,6115.0,6343.0,6737.0,7218.0
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,726.0,783.0,840.0
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,1495.0,1559.0,1521.0,1623.0,2748.0,1840.0,2062.0,2165.0,2295.0,2423.0,2720.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,2650.0,2677.0,2722.0,2723.0,5177.0,2791.0,2928.0,2539.0,2667.0,2851.0,3162.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,4197.0,4360.0,4572.0,4891.0,1638.0,5642.0,5855.0,6164.0,6519.0,6863.0,7283.0
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,1501.0,1535.0,1542.0,1607.0,1190.0,1653.0,1767.0,1886.0,1985.0,2076.0,2293.0
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,1019.0,1068.0,1094.0,1138.0,5529.0,1327.0,1396.0,1440.0,1605.0,1730.0,1869.0
1735225,Nukus tumani,Нукусский район,Nukus district,1560.0,1565.0,1615.0,1668.0,1790.0,1921.0,2012.0,2191.0,2270.0,2326.0,2468.0
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,0.0,2586.0,2720.0,2833.0,3077.0,3222.0,3451.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,1259.0,1242.0,1260.0,1240.0,1250.0,1213.0,1270.0,1354.0,1433.0,1583.0,1598.0
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,6468.0,6683.0,6914.0,7319.0,7483.0,7828.0,8045.0,8324.0,8838.0,9513.0,9880.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,4683.0,6106.0,6080.0,6352.0,6783.0,4582.0,4779.0,5364.0,5438.0,5893.0,6269.0
1735240,Chimboy tumani,Чимбайский район,Chimboy district,3623.0,3733.0,3822.0,3932.0,3990.0,4101.0,4272.0,4402.0,4518.0,4605.0,4813.0
1735243,Shumanay tumani,Шуманайский район,Shumanay district,1878.0,1991.0,2067.0,2208.0,2275.0,2399.0,2501.0,2636.0,2652.0,2739.0,2928.0
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,4377.492582897034,4443.0,4557.0,4902.0,5160.0,5508.0,5830.0,6302.0,6537.0,6954.0,7479.0
1703,Andijon viloyati,Андижанская область,Andijan region,105892.0,106523.0,108488.0,114662.0,120398.0,127540.0,134093.0,141759.0,149595.0,159648.0,170634.0
1703401,Andijon shahar,Город Андижан,Andijon city,16437.0,16929.0,17617.0,18339.0,19398.0,20694.0,21823.0,22810.0,24070.0,25413.0,26444.0
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,1721.0,1820.0,1942.0,2037.0,2119.0,2192.0,2317.0,2520.0,2738.0,2970.0,3218.0
1703202,Oltinko'l tumani,Алтынкульский район,Oltinko'l  district,5686.0,5785.0,5792.0,6124.0,6333.0,6850.0,7210.0,7470.0,7660.0,8291.0,9005.0
1703203,Andijon tumani,Андижанский район,Andijon district,9201.0,8909.0,8884.0,9956.0,10358.0,11110.0,11560.0,12288.0,13025.0,13810.0,14596.0
1703206,Baliqchi tumani,Балыкчинский район,Baliqchi district,6260.0,6482.0,6565.0,6855.0,7152.0,7494.0,7948.0,8476.0,8890.0,9432.0,10166.0
1703209,Bo'ston tumani,Бустанский район,Bo'ston district,2312.0,2301.0,2319.0,2359.0,2464.0,2504.0,2562.0,2767.0,2852.0,2921.0,3112.0
1703210,Buloqboshi tumani,Булакбашинский район,Buloqboshi district,4814.0,4873.0,4926.0,5246.0,5568.0,5855.0,6217.0,6664.0,6969.0,7472.0,8459.0
1703211,Jalаquduq tumani,Джалакудукский район,Jalаquduq district,6413.0,6566.0,6764.0,7098.0,7386.0,7852.0,8338.0,8995.0,9488.0,10107.0,10631.0
1703214,Izboskan tumani,Избасканский район,Izboskan district,7598.0,7510.0,7679.0,7946.0,8448.0,8755.0,9097.0,9592.0,10297.0,11110.0,11958.0
1703217,Ulug'nor tumani,Улугнорский район,Ulug'nor district,2025.0,2099.0,2151.0,2213.0,2373.0,2453.0,2665.0,2776.0,2943.0,3058.0,3239.0
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,7192.0,7142.0,7276.0,7761.0,8235.0,8597.0,9026.0,9734.0,10440.0,11366.0,12383.0
1703224,Asaka tumani,Асакинский район,Asaka district,11185.0,11202.0,11374.0,12308.0,12972.0,13928.0,14808.0,15554.0,16142.0,17403.0,18741.0
1703227,Marxamat tumani,Мархаматский район,Marxamat district,5813.0,5830.0,5997.0,6257.0,6491.0,6957.0,7232.0,7716.0,8019.0,8371.0,9001.0
1703230,Shaxrixon tumani,Шахриханский район,Shaxrixon district,9512.0,9368.0,9363.0,9900.0,10210.0,10773.0,11087.0,11397.0,11842.0,12703.0,13516.0
1703232,Paxtaobod tumani,Пахтаабадский район,Paxtaobod district,5908.0,5828.0,5913.0,6168.0,6630.0,7081.0,7554.0,8095.0,9037.0,9864.0,10558.0
1703236,Xo'jaobod tumani,Ходжаабадский район,Xo'jaobod district,3815.0,3879.0,3926.0,4095.0,4261.0,4445.0,4649.0,4905.0,5183.0,5357.0,5607.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,70414.0,71639.0,73931.0,77645.0,82112.0,87605.0,92877.0,98657.0,104097.0,110555.0,118085.0
