,District_x,Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,ADM2_PCODE,Density scale
0,Nukus city,1735401,271.5,284.3,286.4,289.0,295.2,300.7,303.7,307.4,310.9,314.9,319.6,323.8,329.0,334.6,The Republic of Karakalpakstan,UZ35401,5.728149831104496
1,Amudarya district,1735204,163.5,172.3,174.4,176.8,179.1,182.2,185.7,188.7,191.6,195.3,199.2,201.4,204.8,208.6,The Republic of Karakalpakstan,UZ35204,5.240158452374504
2,Beruniy district,1735207,159.1,162.2,164.5,167.3,170.3,173.7,177.2,180.5,183.9,187.6,191.4,194.5,197.4,201.2,The Republic of Karakalpakstan,UZ35207,5.195730777772936
3,Bo‘zatov district,1735209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.7,21.8,21.9,The Republic of Karakalpakstan,Not Found,-inf
4,Qorao‘zak district,1735211,45.1,48.2,48.6,49.2,49.6,50.3,50.9,51.5,52.0,52.4,52.8,53.3,53.6,54.1,The Republic of Karakalpakstan,UZ35211,3.9415818076696905
5,Kegeyli district,1735212,79.5,82.7,82.9,83.8,84.8,85.7,87.0,88.1,88.9,89.5,72.5,73.2,73.6,74.2,The Republic of Karakalpakstan,UZ35212,4.478472532942134
6,Qo‘ng‘irot district,1735215,115.5,117.5,117.5,118.5,120.1,121.9,123.6,125.2,126.8,128.3,129.9,131.6,132.8,134.6,The Republic of Karakalpakstan,UZ35215,4.829912458665998
7,Qanliko'l district,1735218,43.8,45.4,45.7,46.3,46.9,47.6,48.3,49.1,49.7,50.3,51.0,51.7,52.4,53.1,The Republic of Karakalpakstan,UZ35218,3.893859034800475
8,Mo‘ynoq district,1735222,28.3,28.9,29.0,29.2,29.4,29.7,30.2,30.6,30.9,31.3,31.8,32.3,33.0,33.4,The Republic of Karakalpakstan,UZ35222,3.4210000089583352
9,Nukus district,1735225,47.0,44.1,44.1,44.3,44.4,45.0,46.1,47.1,48.2,49.1,50.2,51.1,51.9,52.9,The Republic of Karakalpakstan,UZ35225,3.8522730010223722
10,Taxiatosh district,1735228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,72.8,73.8,74.7,75.5,76.3,The Republic of Karakalpakstan,Not Found,-inf
11,Taxtako‘pir district,1735230,39.3,39.6,38.8,38.6,38.7,38.8,39.1,39.4,39.7,39.9,40.1,40.4,40.6,39.0,The Republic of Karakalpakstan,UZ35230,3.673765816303888
12,To'rtko'l district,1735233,175.4,183.0,185.9,189.0,192.6,196.1,199.7,203.1,206.4,210.3,214.3,217.7,221.0,224.7,The Republic of Karakalpakstan,UZ35233,5.313698468586339
13,Xo‘jayli district,1735236,191.4,182.4,181.5,182.2,183.5,185.2,187.5,189.5,119.7,121.2,122.7,124.3,125.5,127.2,The Republic of Karakalpakstan,UZ35236,5.244389024522481
14,Chimboy district,1735240,101.9,105.1,106.0,107.2,108.3,109.4,111.2,112.7,113.8,115.2,112.3,113.4,114.0,115.1,The Republic of Karakalpakstan,UZ35240,4.724729421045731
15,Shumanay district,1735243,40.7,51.9,52.2,52.6,53.1,53.6,54.2,54.7,55.1,55.6,56.1,56.6,57.0,57.6,The Republic of Karakalpakstan,UZ35243,4.001863709427935
16,Ellikqala district,1735250,130.0,133.3,135.3,137.8,140.5,143.2,146.7,149.9,152.8,156.1,159.1,162.0,164.6,167.7,The Republic of Karakalpakstan,UZ35250,5.009968405108552
17,Andijon city,1703401,373.8,388.4,393.5,398.2,403.9,410.4,416.3,421.9,427.5,433.9,441.7,450.0,458.5,468.1,Andijan region,UZ03401,6.044768319130293
18,Xonobod city,1703408,37.4,37.9,38.3,38.8,39.3,39.8,40.1,40.6,41.0,41.7,42.5,43.2,43.9,45.0,Andijan region,UZ03408,3.703768066607687
19,Oltinko'l district,1703202,142.7,148.3,150.9,153.7,156.9,160.2,163.2,166.6,169.8,172.9,176.7,180.5,184.7,189.0,Andijan region,UZ03202,5.115595729732743
20,Andijon district,1703203,210.9,217.6,221.5,226.1,230.4,235.0,240.7,246.0,250.6,256.2,261.8,267.1,273.8,280.0,Andijan region,UZ03203,5.5053315359323625
21,Baliqchi district,1703206,158.4,169.0,171.9,174.7,178.1,182.0,185.6,189.0,192.0,195.5,199.3,203.1,207.1,211.3,Andijan region,UZ03206,5.241747015059643
22,Bo'ston district,1703209,57.1,60.8,61.7,62.7,64.1,65.4,66.6,67.8,69.1,70.3,71.7,73.1,74.7,76.2,Andijan region,UZ03209,4.216562194946349
23,Buloqboshi district,1703210,115.1,122.4,124.2,125.9,128.1,130.4,132.9,135.1,137.1,139.3,141.9,144.5,147.0,149.9,Andijan region,UZ03210,4.906015244966153
24,Jalаquduq district,1703211,153.1,160.7,163.1,165.3,167.8,170.6,173.5,176.5,178.9,181.9,184.8,187.9,191.5,195.2,Andijan region,UZ03211,5.173320876373351
25,Izboskan district,1703214,195.1,201.1,204.4,207.7,211.4,215.2,219.2,223.1,227.1,231.6,236.4,241.2,245.6,250.3,Andijan region,UZ03214,5.407620101438487
26,Ulug'nor district,1703217,49.5,50.6,51.5,52.4,53.4,54.4,55.3,56.2,57.1,58.1,59.3,60.5,61.8,63.0,Andijan region,UZ03217,4.028916756899646
27,Qo'rg'ontepa district,1703220,173.0,184.3,186.9,189.8,193.3,196.4,200.2,203.8,207.1,210.8,214.8,218.4,222.1,226.1,Andijan region,UZ03220,5.3171391207886245
28,Asaka district,1703224,259.1,274.7,279.1,283.8,289.3,295.2,301.0,307.0,313.0,319.3,325.8,332.6,340.0,347.5,Andijan region,UZ03224,5.726847747587197
